Stock Name,Date,Open,High,Low,Close,Adj Close,Volume
HDFCLIFE,24-06-2020,542.700012,545.599976,523.700012,527.25,527.25,3765172
HDFCLIFE,25-06-2020,520,539.75,519,538.400024,538.400024,2654149
HDFCLIFE,26-06-2020,541.400024,547.450012,535,541.900024,541.900024,2586654
HDFCLIFE,29-06-2020,543.5,544.599976,532.650024,537.200012,537.200012,1691365
HDFCLIFE,30-06-2020,540.5,554.450012,537,549,549,3355423
HDFCLIFE,01-07-2020,555.549988,560,546.150024,549.650024,549.650024,3419769
HDFCLIFE,02-07-2020,549.5,552.5,545.700012,547.950012,547.950012,1638017
HDFCLIFE,03-07-2020,564.950012,589.599976,558,572.150024,572.150024,15663461
HDFCLIFE,06-07-2020,581,591.849976,576.400024,584.700012,584.700012,4862801
HDFCLIFE,07-07-2020,589.700012,591,572.099976,582.599976,582.599976,3849675
HDFCLIFE,08-07-2020,581.5,596.900024,578,581.950012,581.950012,4280620
HDFCLIFE,09-07-2020,584.099976,589.900024,582.950012,585.200012,585.200012,2440595
HDFCLIFE,10-07-2020,586,600,585.25,592.5,592.5,3206846
HDFCLIFE,13-07-2020,593.950012,603.75,584,600.299988,600.299988,2854213
HDFCLIFE,14-07-2020,592.5,609,592.5,598.450012,598.450012,3645874
HDFCLIFE,15-07-2020,600,604.700012,593,594.799988,594.799988,2310685
HDFCLIFE,16-07-2020,594,603.75,589.25,599.849976,599.849976,1767540
HDFCLIFE,17-07-2020,600.799988,616,600.049988,614.5,614.5,2790602
HDFCLIFE,20-07-2020,619.700012,628.200012,612.299988,616.450012,616.450012,3020859
HDFCLIFE,21-07-2020,622,632.5,601.349976,627.450012,627.450012,8306371
HDFCLIFE,22-07-2020,627,627,605.900024,609.650024,609.650024,5164659
HDFCLIFE,23-07-2020,610.950012,623.700012,610.650024,622.700012,622.700012,2957797
HDFCLIFE,24-07-2020,617,624.900024,615.5,622.400024,622.400024,2789551
HDFCLIFE,27-07-2020,624.599976,637.5,613.5,633.450012,633.450012,3343985
HDFCLIFE,28-07-2020,636,647.599976,633.650024,640.5,640.5,4307089
HDFCLIFE,29-07-2020,640.5,642.700012,629,637.75,637.75,2458334
HDFCLIFE,30-07-2020,639.950012,644.900024,623.950012,635.099976,635.099976,27847314
HDFCLIFE,31-07-2020,628.700012,637.900024,619.049988,627.099976,627.099976,3774399
HDFCLIFE,03-08-2020,624,624,600.5,603,603,3634400
HDFCLIFE,04-08-2020,605.200012,615.900024,600.950012,614.150024,614.150024,2248809
HDFCLIFE,05-08-2020,616.450012,618.150024,603.299988,605,605,2051992
